City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Tuktoyaktuk,CA,2022-01-03 19:46:50,69.4541,-133.0374,-22.0,69,20,10.36
107,Kloulklubed,PW,2022-01-03 19:46:50,7.0419,134.2556,77.5,78,100,14.05
108,Vostok,RU,2022-01-03 19:46:51,46.4856,135.8833,-14.49,98,100,3.2
109,Kaitangata,NZ,2022-01-03 19:46:51,-46.2817,169.8464,61.54,69,100,2.48
110,Santa Maria,BR,2022-01-03 19:46:51,-29.6842,-53.8069,92.5,40,20,10.36
111,Cherskiy,RU,2022-01-03 19:46:52,68.75,161.3,18.39,88,99,9.84
112,Tezu,IN,2022-01-03 19:46:52,27.9167,96.1667,58.6,64,100,2.89
113,Semirom,IR,2022-01-03 19:46:52,31.4167,51.5667,29.68,89,73,5.03
114,Saquena,PE,2022-01-03 19:46:52,-4.6667,-73.5167,94.66,37,100,5.39
115,Fukue,JP,2022-01-03 19:46:53,32.6881,128.8419,50.11,56,2,19.13
116,Hohhot,CN,2022-01-03 19:46:53,40.8106,111.6522,3.49,60,0,4.47
117,Laguna,US,2022-01-03 19:46:53,38.421,-121.4238,55.26,73,90,3.0
118,Dikson,RU,2022-01-03 19:46:54,73.5069,80.5464,-35.73,93,31,6.78
119,Tarakan,ID,2022-01-03 19:46:54,3.3,117.6333,76.5,94,90,6.91
120,Thinadhoo,MV,2022-01-03 19:46:54,0.5333,72.9333,80.51,77,45,2.82
121,Grindavik,IS,2022-01-03 19:46:55,63.8424,-22.4338,25.27,86,20,8.05
122,Tiarei,PF,2022-01-03 19:46:55,-17.5333,-149.3333,84.22,81,100,13.71
123,South Valley,US,2022-01-03 19:46:55,35.0101,-106.6781,47.91,40,1,3.44
124,Biltine,TD,2022-01-03 19:46:56,14.5333,20.9167,66.54,32,97,17.76
125,Camacha,PT,2022-01-03 19:46:56,33.0833,-16.3333,63.54,88,0,0.0
126,Lata,PT,2022-01-03 19:46:56,40.1629,-8.3327,58.05,95,90,4.61
127,Leningradskiy,RU,2022-01-03 19:46:57,69.3833,178.4167,31.37,74,100,10.33
128,Yellowknife,CA,2022-01-03 19:41:58,62.456,-114.3525,-34.08,67,20,11.5
129,Chokurdakh,RU,2022-01-03 19:46:57,70.6333,147.9167,-19.84,98,100,6.78
130,Kankan,GN,2022-01-03 19:46:57,10.3854,-9.3057,78.57,17,42,4.74
131,Olafsvik,IS,2022-01-03 19:46:58,64.8945,-23.7142,28.33,74,82,7.29
132,Bafoulabe,ML,2022-01-03 19:46:58,13.8065,-10.8321,80.87,14,100,6.02
133,Touros,BR,2022-01-03 19:46:58,-5.1989,-35.4608,85.1,72,97,13.6
134,Nanortalik,GL,2022-01-03 19:46:58,60.1432,-45.2371,32.76,88,100,29.06
135,Mysen,NO,2022-01-03 19:46:59,59.5535,11.3258,38.62,97,98,3.0
136,Altay,CN,2022-01-03 19:46:59,47.8667,88.1167,18.46,60,94,8.28
137,Port Elizabeth,ZA,2022-01-03 19:46:59,-33.918,25.5701,70.09,88,75,9.22
138,General Roca,AR,2022-01-03 19:47:59,-39.0333,-67.5833,82.8,27,100,38.05
139,Bryan,US,2022-01-03 19:43:58,30.6744,-96.37,52.83,32,1,0.0
140,Tiznit,MA,2022-01-03 19:48:00,29.5833,-9.5,60.46,38,0,1.81
141,Sao Joao Da Barra,BR,2022-01-03 19:43:43,-21.6403,-41.0511,78.89,87,100,12.97
142,Hwange,ZW,2022-01-03 19:48:00,-18.3693,26.5019,73.96,74,100,3.47
143,Praia,CV,2022-01-03 19:48:00,14.9215,-23.5087,77.54,61,0,13.8
144,Vaini,TO,2022-01-03 19:48:01,-21.2,-175.2,80.76,89,90,17.27
145,Yerbogachen,RU,2022-01-03 19:48:01,61.2767,108.0108,-13.97,98,100,4.7
146,Swan River,CA,2022-01-03 19:48:01,52.1058,-101.2676,-4.11,71,98,10.36
147,Hilo,US,2022-01-03 19:43:42,19.7297,-155.09,75.79,80,40,5.75
148,Mogadishu,SO,2022-01-03 19:46:54,2.0371,45.3438,78.67,89,5,15.82
149,Hobart,AU,2022-01-03 19:43:59,-42.8794,147.3294,56.01,85,90,4.61
150,Xiaoweizhai,CN,2022-01-03 19:48:02,26.1903,107.5125,51.93,98,100,4.59
151,Tucurui,BR,2022-01-03 19:48:02,-3.7661,-49.6725,74.39,96,100,4.36
152,Port Moresby,PG,2022-01-03 19:48:02,-9.4431,147.1797,74.62,100,1,5.75
153,Sungairaya,ID,2022-01-03 19:48:02,0.7,108.9,76.86,87,95,1.66
154,Eureka,US,2022-01-03 19:44:00,40.8021,-124.1637,53.2,78,100,8.99
155,Defiance,US,2022-01-03 19:48:03,41.3334,-84.45,32.2,64,20,5.75
156,Turbat,PK,2022-01-03 19:48:03,26.0023,63.044,69.31,74,100,12.5
157,Puerto Ayora,EC,2022-01-03 19:45:32,-0.7393,-90.3518,82.36,76,100,10.02
158,Diamantino,BR,2022-01-03 19:48:03,-14.4086,-56.4461,82.96,75,82,5.53
159,Waipawa,NZ,2022-01-03 19:48:04,-41.4122,175.5153,67.93,61,91,6.35
160,Vila Velha,BR,2022-01-03 19:48:04,-20.3297,-40.2925,82.35,81,75,8.99
161,Hay River,CA,2022-01-03 19:48:04,60.8156,-115.7999,-27.42,68,40,12.66
162,Mehamn,NO,2022-01-03 19:48:04,71.0357,27.8492,15.71,65,100,17.13
163,Ussel,FR,2022-01-03 19:48:05,45.55,2.3167,38.73,87,100,4.74
164,Saint George,US,2022-01-03 19:48:05,37.1041,-113.5841,52.27,33,1,3.0
165,Northam,GB,2022-01-03 19:48:05,51.0333,-4.2167,50.02,87,100,13.09
166,Kandi,BJ,2022-01-03 19:48:05,11.1342,2.9386,76.12,20,100,8.7
167,Muli,MV,2022-01-03 19:48:06,2.9167,73.5667,80.53,78,100,9.4
