City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
457,Luanda,AO,76.24,overcast clouds,-8.8368,13.2343,Hotel Fórum
459,Muli,MV,82.26,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
461,Praia,CV,72.14,scattered clouds,14.9215,-23.5087,LT Aparthotel
463,Healesville,AU,84.61,clear sky,-37.65,145.5167,Tuck Inn Yarra Valley Accommodation Healesville
466,Kisangani,CD,73.18,overcast clouds,0.5167,25.2,Grand Ramela Hotel
469,Wajir,KE,80.17,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
470,La Orilla,MX,79.99,broken clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
475,Yangambi,CD,72.14,overcast clouds,0.8102,24.4336,
479,Alugan,PH,79.92,broken clouds,12.2188,125.4808,JM Lodge
481,Zemio,CF,76.1,broken clouds,5.0314,25.1361,OCHA Office
482,Takaka,NZ,75.81,overcast clouds,-40.85,172.8,Golden Bay Motels
484,Kaeo,NZ,80.33,overcast clouds,-35.1,173.7833,Bushido Lodge
485,Matara,LK,74.44,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
486,Alyangula,AU,86.14,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
489,Sao Jose Da Coroa Grande,BR,79.23,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
491,Mandera,KE,81.12,clear sky,3.9366,41.867,Mwalimu Guest mandera
495,Katobu,ID,80.15,overcast clouds,-4.9408,122.5276,La Ode Husein
496,Lufilufi,WS,89.38,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
502,Vicuna,CL,75.78,overcast clouds,-30.0319,-70.7081,Los Mosaicos
510,Ulladulla,AU,82.76,broken clouds,-35.35,150.4667,Sandpiper Motel
515,Beloha,MG,74.16,overcast clouds,-25.1667,45.05,
517,Massakory,TD,70.09,broken clouds,12.996,15.7293,
518,Kayes,ML,76.08,overcast clouds,14.0,-11.0,
519,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
520,Kalawit,PH,79.97,broken clouds,8.0667,122.5167,Ompoy Pension House
525,Lloro,CO,73.62,broken clouds,5.4961,-76.5495,aidemi
526,Xuddur,SO,70.11,few clouds,4.1213,43.8894,Banjanay Hotel
530,Nauta,PE,78.01,overcast clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
531,Viedma,AR,71.29,few clouds,-40.8135,-62.9967,Hotel Cristal
534,Cururupu,BR,74.01,light rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
536,Le Port,RE,77.0,light rain,-20.9373,55.2919,KORBEY D'OR OUEST
539,Martapura,ID,75.29,few clouds,-3.4167,114.85,Montana Hotel Syariah
542,Lakes Entrance,AU,86.58,few clouds,-37.8811,147.981,The Esplanade Resort & Spa
545,Dong Hoi,VN,70.52,broken clouds,17.4833,106.6,Nam Long Hotel
546,Karratha,AU,87.13,clear sky,-20.7377,116.8463,ibis Styles Karratha
548,Pemangkat,ID,77.86,overcast clouds,1.1667,108.9667,Ramah Kost KITA
549,Pangai,TO,82.51,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
553,Noumea,NC,85.98,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
554,Amapa,BR,73.09,overcast clouds,1.0,-52.0,
555,Bangolo,CI,79.41,broken clouds,7.0069,-7.475,RESIDENCE HÔTEL GNININSEMIN DE BANGOLO
560,Lafiagi,NG,78.37,scattered clouds,8.8667,5.4167,Bus group international
561,Timoteo,BR,72.46,light rain,-19.5825,-42.6444,So o @jeeanfelips contem este selo
564,Ternate,ID,81.95,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
566,Mecca,SA,73.89,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
571,Kununurra,AU,85.98,broken clouds,-15.7667,128.7333,Hotel Kununurra
572,Boyolangu,ID,77.68,overcast clouds,-8.1181,111.8935,Yos ega cv
577,Boende,CD,76.03,overcast clouds,-0.2167,20.8667,
580,Betare Oya,CM,71.1,scattered clouds,5.6,14.0833,Auberge Tembina Betaré Oya
582,Tabou,CI,79.75,broken clouds,4.423,-7.3528,hotêl doufoulougou
585,Kawalu,ID,74.8,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
591,Kibala,TD,75.15,clear sky,9.1104,18.3463,hotel safari
599,Tucuma,BR,74.73,overcast clouds,-0.1833,-50.05,
600,Biak,ID,80.35,broken clouds,-0.9131,122.8766,Penginapan Kim
601,Sao Paulo Do Potengi,BR,80.28,overcast clouds,-5.895,-35.7628,Pousada e Restaurante Carne Assada do Ari
603,Nhamunda,BR,73.54,overcast clouds,-2.1861,-56.7131,Pousada Da Praia
608,Uarini,BR,74.44,overcast clouds,-2.99,-65.1083,
611,Srandakan,ID,79.09,moderate rain,-7.9386,110.2506,Puri Brata
617,San Pedro,PH,79.11,few clouds,14.35,121.0167,Villa Veronica Resort Private Pool
618,Sarangani,PH,81.59,overcast clouds,5.4033,125.4636,Ballistic Islet
621,Challakere,IN,70.41,overcast clouds,14.3167,76.65,SR Residency
624,Vila Velha,BR,73.94,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
632,Takoradi,GH,81.09,broken clouds,4.8845,-1.7554,Raybow International Hotel
635,Santa Rosa,PH,79.86,clear sky,14.3122,121.1114,Erlyn’s Sta Rosa City Home
637,Copiapo,CL,70.79,overcast clouds,-27.3667,-70.3333,San Francisco de La Selva
639,Ciawi,ID,70.09,scattered clouds,-7.5117,107.9767,Bokong Gambir
642,Mocuba,MZ,71.73,broken clouds,-16.8392,36.9856,Phama Lodge
643,Basco,PH,74.77,broken clouds,20.4487,121.9702,Nathaniel's Lodge
645,Lumut,MY,77.36,few clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
649,Phuket,TH,75.42,few clouds,8.0,98.25,The Surin
650,Okaihau,NZ,77.52,overcast clouds,-35.3167,173.7833,Macadamia Farm
652,Caxito,AO,77.65,overcast clouds,-8.5785,13.6643,
653,Saint-Pierre,RE,76.68,light rain,-21.3393,55.4781,Lindsey Hôtel
655,Saraland,US,71.6,broken clouds,30.8207,-88.0706,Microtel Inn & Suites by Wyndham Saraland/North Mobile
