City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
264,Mindelo,CV,70.59,few clouds,16.8901,-24.9804,Hotel Gaudi
267,Isangel,VU,83.41,few clouds,-19.55,169.2667,Tanna Lodge
268,Pimentel,PE,70.92,overcast clouds,-6.8367,-79.9342,Casona Del Muelle
273,Jacareacanga,BR,70.65,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
275,Labuan,MY,77.16,overcast clouds,5.2767,115.2417,Tiara Labuan Hotel
278,Necochea,AR,82.04,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
280,Buala,SB,84.11,light rain,-8.145,159.5921,Maringe Lagoon Lodge
281,Iralaya,HN,75.29,few clouds,15.0,-83.2333,Iglesia morava renovada
282,Sao Joao Da Barra,BR,71.1,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
284,Salinopolis,BR,76.95,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
286,Belmonte,BR,77.85,moderate rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
287,Sinnamary,GF,75.72,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
288,Presidente Dutra,BR,73.96,overcast clouds,-5.29,-44.49,Pousada Planalto
292,Beroroha,MG,72.72,overcast clouds,-21.6667,45.1667,
293,Soyo,AO,77.16,overcast clouds,-6.1349,12.3689,Hotel Mpampa
294,Weligama,LK,74.37,overcast clouds,5.9667,80.4167,Weligama Bay Resort
298,Luwuk,ID,82.49,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
299,Makakilo City,US,79.61,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
304,Yeppoon,AU,82.18,scattered clouds,-23.1333,150.7333,Villa Mar Colina
307,Flinders,AU,81.18,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
309,Banda Aceh,ID,77.72,light rain,5.5577,95.3222,Sulthan Hotel International
310,Carnot,CF,72.59,broken clouds,4.9409,15.8665,
311,Saint-Joseph,RE,75.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
316,Mar Del Plata,AR,75.0,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
319,Alofi,NU,80.53,light rain,-19.0595,-169.9187,Taloa Heights
320,Gorontalo,ID,81.18,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
322,Ndele,CF,78.57,broken clouds,8.4109,20.6473,
325,Port Hedland,AU,86.05,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
329,Brownsville,US,78.91,broken clouds,25.9018,-97.4975,University Inn & Suites
332,Ewa Beach,US,81.01,clear sky,21.3156,-158.0072,Uncle Junior Robert
333,Nsanje,MW,71.22,overcast clouds,-16.92,35.262,Nsanje Discovery Lodge
335,Adre,TD,70.21,clear sky,13.4667,22.2,
338,Progreso,MX,82.51,clear sky,21.2833,-89.6667,Playa Linda Hotel
341,Pisco,PE,71.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
